exact sum,estimated sum,solution 1 min,solution 1 max,solution 2 min,solution 2 max,sum ratio
443535404,443505413,-2.5099999999999995E9,2.5099999999999995E9,-4.175686126408086E8,4.87784116164705E8,6.761805197404264E-5
447545458,442739541,-2.5099999999999995E9,2.5099999999999995E9,-4.251985896956885E8,2.727181636133689E8,0.010738388501308397
439392898,436339757,-2.5099999999999995E9,2.5099999999999995E9,-4.126465604396906E8,4.456033241110606E8,0.006948544261632559
103063911,106842251,-3.828900000000001E8,3.828900000000001E8,-7.589451480850506E7,8.086383347207229E7,0.03666016516683517
325513095,319628303,-2.5099999999999995E9,2.5099999999999995E9,-3.0845082088854957E8,2.4033107539579955E8,0.018078510789251045
346147545,345686367,-2.5099999999999995E9,2.5099999999999995E9,-3.2582249635379404E8,4.745535056550491E8,0.0013323162525968515
103699803,102110282,-4.631E7,4.631E7,-2.2680797750438932E7,2.517031269165743E7,0.015328100478647968
187772335,188976789,-3.5656999999999994E8,3.5656999999999994E8,-7.254753451095659E7,8.061376041147019E7,0.006414437994819631
195346914,189018840,-2.5099999999999995E9,2.5099999999999995E9,-1.826753086717601E8,2.392994698713181E8,0.03239403106209295
36240074,35527778,-1.3079999999999996E7,1.3079999999999996E7,-1.7811939228753503E7,1.8482916571883734E7,0.019654926753184886
7061558,7099501,-2.823E7,2.823E7,-5597860.125820927,7495806.294362439,0.005373176854172974
71792211,72788907,-2.3643E8,2.3643E8,-4.647953100136552E7,5.18218347085636E7,0.013883065949870245
165880600,163663258,-1.3067000000000001E8,1.3067000000000001E8,-3.545532365036739E7,4.0167168423499584E7,0.013367096574282948
123522801,122290222,-1.2555E8,1.2555E8,-3.1520479523311004E7,3.5594702171337515E7,0.009978554485661316
100760090,97501728,-4.339000000000001E7,4.339000000000001E7,-2.2365455884647906E7,2.4552015590155404E7,0.03233782343783139
179215396,172668549,-2.5099999999999995E9,2.5099999999999995E9,-1.6835879171617147E8,1.4146271187795037E8,0.03653060588611483
162045038,159686169,-2.5099999999999995E9,2.5099999999999995E9,-1.5323442693231028E8,2.973339593403991E8,0.014556872762743898
1249928,1246308,-2579999.9999999995,2579999.9999999995,-1227142.9031146371,5085249.946160348,0.0028961668192087862
353714768,349451087,-2.5099999999999995E9,2.5099999999999995E9,-3.325445346671433E8,3.883073845777357E8,0.012054009008750238
480526079,476738011,-2.5099999999999995E9,2.5099999999999995E9,-4.509795323193961E8,4.3945990454749966E8,0.007883168397193278
36783151,37834841,-3.906000000000001E7,3.906000000000001E7,-1.1967141172052804E7,1.4155606756030958E7,0.028591623376692226
19075979,19914145,-9580000.0,9580000.0,-8796406.438975226,9575322.725079652,0.0439382953818517
458983565,455176326,-2.5099999999999995E9,2.5099999999999995E9,-4.2894716668229395E8,4.7879953757233846E8,0.008294935353513147
399553939,392999301,-2.5099999999999995E9,2.5099999999999995E9,-3.751673394932701E8,3.529041450703561E8,0.01640488895292808
442599102,441840939,-2.5099999999999995E9,2.5099999999999995E9,-4.1606187809278864E8,4.864881477479028E8,0.0017129790742322834
305675108,299220334,-2.5099999999999995E9,2.5099999999999995E9,-2.907407563620524E8,1.539294988563625E8,0.02111645283200489
183125632,181887620,-2.2668E8,2.2668E8,-5.0842614385265626E7,5.606324371383062E7,0.006760451753690057
310388338,307037510,-4.1774E8,4.1774E8,-8.737573355387215E7,9.556613506580386E7,0.01079559889907977
394600530,391174089,-2.5099999999999995E9,2.5099999999999995E9,-3.690697184351391E8,4.684778677023214E8,0.008683315757330584
39251989,39411400,-1.9049000000000003E8,1.9049000000000003E8,-3.591096848637755E7,4.098271411431174E7,0.004061220948574097
471665475,467820052,-2.5099999999999995E9,2.5099999999999995E9,-4.40628059170037E8,4.833433843500236E8,0.008152860880902932
392272176,387159901,-2.5099999999999995E9,2.5099999999999995E9,-3.6884742869594914E8,3.7482407881195164E8,0.013032469068109485
146781464,149498941,-3.2274E8,3.2274E8,-6.543528311379157E7,7.287075264464533E7,0.018513761383385577
385456503,384936962,-1.7476799999999995E9,1.7476799999999995E9,-3.2767510433974874E8,3.4802055171077424E8,0.001347858956734218
482214993,478479872,-2.5099999999999995E9,2.5099999999999995E9,-4.5320438787847066E8,4.2605138079706085E8,0.007745758747074046
263438493,260355189,-2.6899E8,2.6899E8,-6.149497038201441E7,6.790780010624878E7,0.011704075455670026
273359498,275193150,-5.3493999999999994E8,5.3493999999999994E8,-1.0719503796690291E8,1.1675389099408303E8,0.006707840822856647
415355903,412582962,-2.5099999999999995E9,2.5099999999999995E9,-3.905912965058847E8,4.365306648419271E8,0.006676060169054586
143736577,140718224,-9.246E7,9.246E7,-2.9270171903634835E7,3.314819731185385E7,0.020999199111302057
472262398,468364815,-2.5099999999999995E9,2.5099999999999995E9,-4.4607225591442865E8,3.675959032169189E8,0.008253003026508157
323434677,321118633,-2.5099999999999995E9,2.5099999999999995E9,-3.053046728995382E8,3.9679795211639255E8,0.007160778248895062
393954723,387221693,-2.5099999999999995E9,2.5099999999999995E9,-3.7017794140906423E8,3.381432526833344E8,0.017090872648327152
177324398,174956078,-2.5099999999999995E9,2.5099999999999995E9,-1.680441409082515E8,2.93319159049873E8,0.013355860934601903
169865861,172616098,-3.8461E8,3.8461E8,-7.707191606086224E7,8.559877750913581E7,0.016190639977976505
392494,376027,-640000.0000000001,640000.0000000001,-370249.2517718967,912396.0092333701,0.04195478147436649
437668065,432855106,-2.5099999999999995E9,2.5099999999999995E9,-4.163892007089544E8,2.5398208679341996E8,0.010996824728347497
242640960,239918562,-2.5268E8,2.5268E8,-5.7853774702126265E7,6.415007615911303E7,0.011219861642486083
135906361,137089536,-1.8201E8,1.8201E8,-4.070235619734702E7,4.6838722825281195E7,0.008705810318915095
301137582,300252373,-6.0153E8,6.0153E8,-1.1828618363118538E8,1.3018904747051187E8,0.0029395500691773505
145747865,145219328,-1.6702E8,1.6702E8,-3.929448252604201E7,4.402408063170557E7,0.0036263790210580445
25454055,25511994,-4.811E7,4.811E7,-1.1135698051693872E7,1.3756589311983876E7,0.0022762188578597793
475921224,472184567,-2.5099999999999995E9,2.5099999999999995E9,-4.443733195418428E8,4.910173971143124E8,0.007851419124775154
402525376,402045444,-1.5653499999999998E9,1.5653499999999998E9,-2.9418010819494134E8,3.1421547024793553E8,0.0011923024698944694
73943103,76534414,-6.634E7,6.634E7,-1.9749127719097473E7,2.3026714722738814E7,0.03504466129856628
475639566,469660557,-2.5099999999999995E9,2.5099999999999995E9,-4.4336281457754046E8,4.611140695514662E8,0.012570461810571915
28342356,29553791,-1.1159999999999998E7,1.1159999999999998E7,-1.6167959613303857E7,1.6765802329475258E7,0.04274291805522448
272494151,267623869,-2.5099999999999995E9,2.5099999999999995E9,-2.5643226461408392E8,3.2286114843422836E8,0.01787297812495065
499344388,495616637,-2.5099999999999995E9,2.5099999999999995E9,-4.662687146830746E8,4.739054902294688E8,0.0074652906682912395
316130657,310747917,-2.5099999999999995E9,2.5099999999999995E9,-2.98041657665583E8,3.1143220111275095E8,0.017026947184056243
487295101,483310973,-2.5099999999999995E9,2.5099999999999995E9,-4.5524128430736715E8,4.819555418754153E8,0.00817600667813814
322138117,317266530,-2.5099999999999995E9,2.5099999999999995E9,-3.035145770551403E8,3.373569170105343E8,0.015122665536658612
27621064,26401303,-1.1929999999999998E7,1.1929999999999998E7,-1.1541479147473823E7,1.2488428067364587E7,0.04416053632112072
331779805,325186749,-2.5099999999999995E9,2.5099999999999995E9,-3.148477775973731E8,1.965503271786852E8,0.019871782129717026
127422459,125221112,-2.5099999999999995E9,2.5099999999999995E9,-1.1912783158293778E8,3.39659409427531E8,0.017275973303889858
174911497,178111490,-8.1248E8,8.1248E8,-1.5529283418850377E8,1.6542181043273285E8,0.018294926605081883
159827599,157889926,-2.5099999999999995E9,2.5099999999999995E9,-1.504763028620196E8,3.457164571503348E8,0.012123519417944833
243043352,245869121,-5.930699999999999E8,5.930699999999999E8,-1.1666956243793489E8,1.2748191078659213E8,0.011626604787774652
257286526,252409959,-2.5099999999999995E9,2.5099999999999995E9,-2.42203478167111E8,3.0900856544625723E8,0.01895383748156326
265709498,259945818,-2.5099999999999995E9,2.5099999999999995E9,-2.495626222092464E8,3.039558123855901E8,0.021691659663592454
163919815,166133832,-3.3035000000000006E8,3.3035000000000006E8,-6.6990979837310605E7,7.552961265582937E7,0.013506707532582318
308616324,311847947,-8.1199E8,8.1199E8,-1.5792834946791077E8,1.7064338796059555E8,0.010471328794649242
131042760,131130151,-8.826E7,8.826E7,-2.8162065484556876E7,3.1344886836010132E7,6.668891894523589E-4
445306025,439843389,-2.5099999999999995E9,2.5099999999999995E9,-4.179870286923074E8,3.9574016032147706E8,0.012267150438847083
404563107,400127424,-2.5099999999999995E9,2.5099999999999995E9,-3.797532085233112E8,4.124589991587231E8,0.01096413123997488
458817829,456514279,-1.4311499999999998E9,1.4311499999999998E9,-2.6942043495617384E8,2.901229598178034E8,0.005020620068362688
477522323,474201739,-2.5099999999999995E9,2.5099999999999995E9,-4.4665525345705175E8,4.82617995447624E8,0.006953777530521856
243580040,239462093,-2.6678000000000003E8,2.6678000000000003E8,-5.987206940847907E7,6.60596238266467E7,0.016905929566314218
463570570,458874784,-2.5099999999999995E9,2.5099999999999995E9,-4.359664531223096E8,3.9598545869302267E8,0.010129603352516533
231328010,233869878,-1.1256999999999995E9,1.1256999999999995E9,-2.1348876500676253E8,2.2601343252012485E8,0.01098815487151772
54423778,54256490,-1.8139999999999996E7,1.8139999999999996E7,-1.9429970473762926E7,2.0470039187073283E7,0.003073803512868952
166074637,164386891,-1.7923E8,1.7923E8,-4.252966389973341E7,4.693494705533521E7,0.010162575276319887
77281107,75187032,-2.785E7,2.785E7,-2.054777643812992E7,2.2031198980687954E7,0.027096855638985607
190030863,192225918,-5.493000000000001E8,5.493000000000001E8,-1.0689870167013466E8,1.1624804913524932E8,0.01155104473740142
438117216,434323814,-2.5099999999999995E9,2.5099999999999995E9,-4.095882833444311E8,4.727752945962678E8,0.00865841802482375
193161401,194789736,-2.9468E8,2.9468E8,-6.2513614773392275E7,6.980307621724433E7,0.008429919184526933
278033088,279504297,-8.029799999999999E8,8.029799999999999E8,-1.5478532322446203E8,1.6703037755705848E8,0.00529148890365164
90246220,93691864,-1.3391E8,1.3391E8,-3.1096602877105147E7,3.531100276279342E7,0.03818048002453731
371053071,363810030,-2.5099999999999995E9,2.5099999999999995E9,-3.5108591281715345E8,2.301456266965991E8,0.019520229223490244
10106886,9804660,-6219999.999999999,6219999.999999999,-9653882.70407699,1.0951248654008713E7,0.029902979018463255
35400892,35222793,-1.1721E8,1.1721E8,-2.281946882989792E7,2.7010372387736518E7,0.005030918429964985
53244970,53040404,-2.1979999999999996E7,2.1979999999999996E7,-1.5696083925157681E7,1.7106204364653092E7,0.003841977937070863
92795874,89432850,-2.5099999999999995E9,2.5099999999999995E9,-8.771445966031602E7,8.140713209337416E7,0.0362410940814028
83962011,80627232,-2.5099999999999995E9,2.5099999999999995E9,-7.848168488282725E7,1.64402210274205E8,0.039717712335403686
265942065,260121721,-2.5099999999999995E9,2.5099999999999995E9,-2.5316381970043552E8,1.4242148997262514E8,0.021885759216015713
134464931,132703217,-6.95E7,6.95E7,-2.708341400845307E7,3.000442824422914E7,0.013101661428733414
13126271,13389846,-1.445E7,1.445E7,-5436162.017621433,6765312.339553933,0.020079960256801036
482463941,478482181,-2.5099999999999995E9,2.5099999999999995E9,-4.5052900946231884E8,4.8579389275596666E8,0.008252969106348198
52794288,54153328,-1.659E8,1.659E8,-3.342108864419013E7,3.732687853527539E7,0.025742178775097792
66972251,65951716,-2.305E7,2.305E7,-1.98835348909552E7,2.12192499903765E7,0.015238176778618356
31420388,31365738,-7.41E7,7.41E7,-1.5568410918915408E7,1.8923269497106437E7,0.0017393165227622268
